State,Year,Cause,Number_of_Cases,Cause_Details
Andhra Pradesh,2009,Relationship Issues,46,"{""<18"": 2, ""18-25"": 2, ""26-35"": 3, ""36-45"": 7, ""46-60"": 7, ""60+"": 3}"
Andhra Pradesh,2009,Exam Stress,45,"{""<18"": 0, ""18-25"": 5, ""26-35"": 2, ""36-45"": 7, ""46-60"": 6, ""60+"": 5}"
Andhra Pradesh,2009,Addiction,52,"{""<18"": 2, ""18-25"": 9, ""26-35"": 6, ""36-45"": 4, ""46-60"": 5, ""60+"": 10}"
Andhra Pradesh,2009,Chronic Illness,48,"{'<18': 4, '18-25': 2, '26-35': 12, '36-45': 6, '46-60': 4, '60+': 3}"
Andhra Pradesh,2009,Unemployment,44,"{""<18"": 4, ""18-25"": 3, ""26-35"": 9, ""36-45"": 5, ""46-60"": 3, ""60+"": 2}"
Andhra Pradesh,2009,Work Pressure,48,"{""<18"": 2, ""18-25"": 7, ""26-35"": 4, ""36-45"": 6, ""46-60"": 3, ""60+"": 5}"
Andhra Pradesh,2009,Unknown,37,"{""<18"": 10, ""18-25"": 7, ""26-35"": 3, ""36-45"": 6, ""46-60"": 5, ""60+"": 4}"
Andhra Pradesh,2009,Natural Causes,29,"{""<18"": 5, ""18-25"": 4, ""26-35"": 5, ""36-45"": 3, ""46-60"": 4, ""60+"": 2}"
Andhra Pradesh,2010,Family Issues,31,"{""<18"": 1, ""18-25"": 3, ""26-35"": 3, ""36-45"": 4, ""46-60"": 5, ""60+"": 10}"
Andhra Pradesh,2010,Financial Crisis,55,"{""<18"": 5, ""18-25"": 4, ""26-35"": 6, ""36-45"": 6, ""46-60"": 7, ""60+"": 5}"
Andhra Pradesh,2010,Mental Illness,49,"{""<18"": 4, ""18-25"": 4, ""26-35"": 4, ""36-45"": 4, ""46-60"": 1, ""60+"": 10}"
Andhra Pradesh,2010,Relationship Issues,45,"{'<18': 6, '18-25': 2, '26-35': 4, '36-45': 6, '46-60': 2, '60+': 8}"
Andhra Pradesh,2010,Exam Stress,42,"{""<18"": 4, ""18-25"": 2, ""26-35"": 6, ""36-45"": 4, ""46-60"": 6, ""60+"": 3}"
Andhra Pradesh,2010,Addiction,42,"{""<18"": 7, ""18-25"": 5, ""26-35"": 6, ""36-45"": 9, ""46-60"": 7, ""60+"": 6}"
Andhra Pradesh,2010,Chronic Illness,45,"{'<18': 7, '18-25': 2, '26-35': 7, '36-45': 9, '46-60': 5, '60+': 7}"
Andhra Pradesh,2010,Unemployment,43,"{""<18"": 9, ""18-25"": 9, ""26-35"": 4, ""36-45"": 6, ""46-60"": 4, ""60+"": 5}"
Andhra Pradesh,2010,Work Pressure,32,"{""<18"": 10, ""18-25"": 4, ""26-35"": 5, ""36-45"": 7, ""46-60"": 5, ""60+"": 3}"
Andhra Pradesh,2010,Unknown,43,"{""<18"": 5, ""18-25"": 6, ""26-35"": 7, ""36-45"": 6, ""46-60"": 8, ""60+"": 7}"
Andhra Pradesh,2010,Natural Causes,44,"{""<18"": 3, ""18-25"": 4, ""26-35"": 4, ""36-45"": 3, ""46-60"": 4, ""60+"": 2}"
Andhra Pradesh,2011,Family Issues,37,"{""<18"": 2, ""18-25"": 4, ""26-35"": 6, ""36-45"": 12, ""46-60"": 4, ""60+"": 1}"
Andhra Pradesh,2011,Financial Crisis,28,"{""<18"": 5, ""18-25"": 5, ""26-35"": 5, ""36-45"": 5, ""46-60"": 3, ""60+"": 6}"
Andhra Pradesh,2011,Mental Illness,36,"{""<18"": 7, ""18-25"": 3, ""26-35"": 5, ""36-45"": 5, ""46-60"": 8, ""60+"": 6}"
Andhra Pradesh,2011,Relationship Issues,43,"{""<18"": 5, ""18-25"": 4, ""26-35"": 4, ""36-45"": 5, ""46-60"": 7, ""60+"": 5}"
Andhra Pradesh,2011,Exam Stress,39,"{""<18"": 6, ""18-25"": 10, ""26-35"": 3, ""36-45"": 5, ""46-60"": 3, ""60+"": 5}"
Andhra Pradesh,2011,Addiction,53,"{""<18"": 4, ""18-25"": 1, ""26-35"": 3, ""36-45"": 2, ""46-60"": 4, ""60+"": 4}"
Andhra Pradesh,2011,Chronic Illness,29,"{""<18"": 3, ""18-25"": 4, ""26-35"": 2, ""36-45"": 3, ""46-60"": 1, ""60+"": 5}"
Andhra Pradesh,2011,Unemployment,41,"{""<18"": 5, ""18-25"": 7, ""26-35"": 5, ""36-45"": 3, ""46-60"": 7, ""60+"": 7}"
Andhra Pradesh,2011,Work Pressure,35,"{""<18"": 4, ""18-25"": 3, ""26-35"": 5, ""36-45"": 4, ""46-60"": 5, ""60+"": 3}"
Andhra Pradesh,2011,Unknown,30,"{'<18': 4, '18-25': 5, '26-35': 3, '36-45': 6, '46-60': 7, '60+': 3}"
Andhra Pradesh,2011,Natural Causes,40,"{""<18"": 3, ""18-25"": 4, ""26-35"": 5, ""36-45"": 5, ""46-60"": 5, ""60+"": 3}"
Andhra Pradesh,2012,Family Issues,29,"{""<18"": 7, ""18-25"": 4, ""26-35"": 7, ""36-45"": 5, ""46-60"": 5, ""60+"": 2}"
Andhra Pradesh,2012,Financial Crisis,40,"{""<18"": 5, ""18-25"": 1, ""26-35"": 1, ""36-45"": 4, ""46-60"": 5, ""60+"": 6}"
Andhra Pradesh,2012,Mental Illness,39,"{""<18"": 6, ""18-25"": 5, ""26-35"": 9, ""36-45"": 2, ""46-60"": 3, ""60+"": 3}"
Andhra Pradesh,2012,Relationship Issues,36,"{""<18"": 10, ""18-25"": 7, ""26-35"": 6, ""36-45"": 4, ""46-60"": 4, ""60+"": 5}"
Andhra Pradesh,2012,Exam Stress,42,"{""<18"": 9, ""18-25"": 4, ""26-35"": 2, ""36-45"": 6, ""46-60"": 5, ""60+"": 5}"
Andhra Pradesh,2012,Addiction,37,"{""<18"": 9, ""18-25"": 4, ""26-35"": 3, ""36-45"": 5, ""46-60"": 6, ""60+"": 4}"
Andhra Pradesh,2012,Chronic Illness,47,"{'<18': 2, '18-25': 5, '26-35': 3, '36-45': 7, '46-60': 4, '60+': 2}"
Andhra Pradesh,2012,Unemployment,32,"{""<18"": 7, ""18-25"": 2, ""26-35"": 5, ""36-45"": 3, ""46-60"": 5, ""60+"": 9}"
Andhra Pradesh,2012,Work Pressure,39,"{""<18"": 5, ""18-25"": 5, ""26-35"": 8, ""36-45"": 4, ""46-60"": 0, ""60+"": 6}"
Andhra Pradesh,2012,Unknown,40,"{""<18"": 5, ""18-25"": 7, ""26-35"": 3, ""36-45"": 4, ""46-60"": 7, ""60+"": 7}"
Andhra Pradesh,2012,Natural Causes,48,"{""<18"": 5, ""18-25"": 6, ""26-35"": 6, ""36-45"": 4, ""46-60"": 5, ""60+"": 3}"
Andhra Pradesh,2013,Family Issues,48,"{""<18"": 6, ""18-25"": 1, ""26-35"": 5, ""36-45"": 7, ""46-60"": 3, ""60+"": 7}"
Andhra Pradesh,2013,Financial Crisis,33,"{""<18"": 6, ""18-25"": 3, ""26-35"": 1, ""36-45"": 7, ""46-60"": 5, ""60+"": 6}"
Andhra Pradesh,2013,Mental Illness,38,"{""<18"": 4, ""18-25"": 6, ""26-35"": 4, ""36-45"": 9, ""46-60"": 6, ""60+"": 4}"
Andhra Pradesh,2013,Relationship Issues,40,"{'<18': 3, '18-25': 5, '26-35': 6, '36-45': 3, '46-60': 5, '60+': 3}"
Andhra Pradesh,2013,Exam Stress,41,"{'<18': 3, '18-25': 4, '26-35': 5, '36-45': 4, '46-60': 5, '60+': 7}"
Andhra Pradesh,2013,Addiction,55,"{'<18': 5, '18-25': 4, '26-35': 3, '36-45': 5, '46-60': 9, '60+': 3}"
Andhra Pradesh,2013,Chronic Illness,35,"{""<18"": 6, ""18-25"": 7, ""26-35"": 3, ""36-45"": 4, ""46-60"": 6, ""60+"": 2}"
Andhra Pradesh,2013,Unemployment,46,"{""<18"": 3, ""18-25"": 8, ""26-35"": 6, ""36-45"": 9, ""46-60"": 7, ""60+"": 3}"
Andhra Pradesh,2013,Work Pressure,29,"{""<18"": 7, ""18-25"": 3, ""26-35"": 7, ""36-45"": 6, ""46-60"": 2, ""60+"": 4}"
Andhra Pradesh,2013,Unknown,31,"{""<18"": 5, ""18-25"": 6, ""26-35"": 7, ""36-45"": 5, ""46-60"": 10, ""60+"": 3}"
Andhra Pradesh,2013,Natural Causes,45,"{""<18"": 2, ""18-25"": 3, ""26-35"": 2, ""36-45"": 6, ""46-60"": 4, ""60+"": 9}"
Andhra Pradesh,2014,Family Issues,42,"{""<18"": 4, ""18-25"": 6, ""26-35"": 5, ""36-45"": 5, ""46-60"": 4, ""60+"": 4}"
Andhra Pradesh,2014,Financial Crisis,37,"{""<18"": 5, ""18-25"": 7, ""26-35"": 1, ""36-45"": 2, ""46-60"": 10, ""60+"": 7}"
Andhra Pradesh,2014,Mental Illness,50,"{'<18': 3, '18-25': 5, '26-35': 8, '36-45': 7, '46-60': 4, '60+': 7}"
Andhra Pradesh,2014,Relationship Issues,36,"{""<18"": 4, ""18-25"": 3, ""26-35"": 5, ""36-45"": 4, ""46-60"": 5, ""60+"": 6}"
Andhra Pradesh,2014,Exam Stress,42,"{""<18"": 4, ""18-25"": 8, ""26-35"": 6, ""36-45"": 4, ""46-60"": 6, ""60+"": 8}"
Andhra Pradesh,2014,Addiction,43,"{""<18"": 2, ""18-25"": 3, ""26-35"": 4, ""36-45"": 5, ""46-60"": 7, ""60+"": 4}"
Andhra Pradesh,2014,Chronic Illness,41,"{'<18': 9, '18-25': 0, '26-35': 6, '36-45': 3, '46-60': 3, '60+': 5}"
Andhra Pradesh,2014,Unemployment,40,"{""<18"": 5, ""18-25"": 6, ""26-35"": 6, ""36-45"": 4, ""46-60"": 6, ""60+"": 5}"
Andhra Pradesh,2014,Work Pressure,54,"{""<18"": 3, ""18-25"": 4, ""26-35"": 5, ""36-45"": 5, ""46-60"": 8, ""60+"": 10}"
Andhra Pradesh,2014,Unknown,46,"{'<18': 6, '18-25': 9, '26-35': 5, '36-45': 4, '46-60': 1, '60+': 5}"
Andhra Pradesh,2014,Natural Causes,41,"{'<18': 2, '18-25': 0, '26-35': 4, '36-45': 5, '46-60': 6, '60+': 4}"
Andhra Pradesh,2015,Family Issues,44,"{""<18"": 5, ""18-25"": 3, ""26-35"": 4, ""36-45"": 4, ""46-60"": 8, ""60+"": 3}"
Andhra Pradesh,2015,Financial Crisis,51,"{'<18': 3, '18-25': 7, '26-35': 5, '36-45': 5, '46-60': 6, '60+': 4}"
Andhra Pradesh,2015,Mental Illness,43,"{""<18"": 3, ""18-25"": 8, ""26-35"": 5, ""36-45"": 2, ""46-60"": 7, ""60+"": 3}"
Andhra Pradesh,2015,Relationship Issues,36,"{'<18': 6, '18-25': 3, '26-35': 1, '36-45': 8, '46-60': 4, '60+': 2}"
Andhra Pradesh,2015,Exam Stress,38,"{'<18': 5, '18-25': 7, '26-35': 6, '36-45': 1, '46-60': 2, '60+': 2}"
Andhra Pradesh,2015,Addiction,34,"{""<18"": 4, ""18-25"": 6, ""26-35"": 11, ""36-45"": 3, ""46-60"": 8, ""60+"": 7}"
Andhra Pradesh,2015,Chronic Illness,48,"{""<18"": 4, ""18-25"": 5, ""26-35"": 0, ""36-45"": 9, ""46-60"": 4, ""60+"": 3}"
Andhra Pradesh,2015,Unemployment,44,"{""<18"": 4, ""18-25"": 9, ""26-35"": 6, ""36-45"": 6, ""46-60"": 5, ""60+"": 5}"
Andhra Pradesh,2015,Work Pressure,41,"{""<18"": 6, ""18-25"": 3, ""26-35"": 4, ""36-45"": 1, ""46-60"": 2, ""60+"": 4}"
Andhra Pradesh,2015,Unknown,50,"{""<18"": 3, ""18-25"": 5, ""26-35"": 3, ""36-45"": 6, ""46-60"": 5, ""60+"": 0}"
Andhra Pradesh,2015,Natural Causes,45,"{""<18"": 3, ""18-25"": 2, ""26-35"": 9, ""36-45"": 3, ""46-60"": 6, ""60+"": 5}"
Andhra Pradesh,2016,Family Issues,38,"{'<18': 3, '18-25': 5, '26-35': 3, '36-45': 6, '46-60': 6, '60+': 6}"
Andhra Pradesh,2016,Financial Crisis,34,"{""<18"": 8, ""18-25"": 7, ""26-35"": 7, ""36-45"": 5, ""46-60"": 7, ""60+"": 5}"
Andhra Pradesh,2016,Mental Illness,45,"{""<18"": 7, ""18-25"": 7, ""26-35"": 4, ""36-45"": 7, ""46-60"": 3, ""60+"": 11}"
Andhra Pradesh,2016,Relationship Issuex,49,"{'<18': 6, '18-25': 4, '26-35': 6, '36-45': 4, '46-60': 5, '60+': 7}"
Andhra Pradesh,2016,Exam Stress,41,"{""<18"": 3, ""18-25"": 6, ""26-35"": 5, ""36-45"": 1, ""46-60"": 3, ""60+"": 3}"
Andhra Pradesh,2016,Addiction,35,"{""<18"": 8, ""18-25"": 3, ""26-35"": 7, ""36-45"": 4, ""46-60"": 6, ""60+"": 3}"
Andhra Pradesh,2016,Chronic Illness,30,"{""<18"": 4, ""18-25"": 6, ""26-35"": 5, ""36-45"": 5, ""46-60"": 3, ""60+"": 5}"
Andhra Pradesh,2016,Unemployment,49,"{""<18"": 9, ""18-25"": 7, ""26-35"": 4, ""36-45"": 4, ""46-60"": 7, ""60+"": 8}"
Andhra Pradesh,2016,Work Pressure,40,"{""<18"": 10, ""18-25"": 4, ""26-35"": 5, ""36-45"": 5, ""46-60"": 2, ""60+"": 3}"
Andhra Pradesh,2016,Unknown,49,"{""<18"": 2, ""18-25"": 6, ""26-35"": 6, ""36-45"": 4, ""46-60"": 3, ""60+"": 6}"
Andhra Pradesh,2016,Natural Causes,38,"{""<18"": 7, ""18-25"": 6, ""26-35"": 2, ""36-45"": 4, ""46-60"": 1, ""60+"": 3}"
Andhra Pradesh,2017,Family Issues,51,"{""<18"": 3, ""18-25"": 5, ""26-35"": 6, ""36-45"": 4, ""46-60"": 5, ""60+"": 5}"
Andhra Pradesh,2017,Financial Crisis,41,"{""<18"": 6, ""18-25"": 2, ""26-35"": 6, ""36-45"": 3, ""46-60"": 4, ""60+"": 3}"
Andhra Pradesh,2017,Mental Illness,43,"{""<18"": 3, ""18-25"": 11, ""26-35"": 3, ""36-45"": 5, ""46-60"": 2, ""60+"": 5}"
Andhra Pradesh,2017,Relationship Issues,35,"{""<18"": 9, ""18-25"": 7, ""26-35"": 6, ""36-45"": 11, ""46-60"": 2, ""60+"": 7}"
Andhra Pradesh,2017,Exam Stress,40,"{""<18"": 5, ""18-25"": 7, ""26-35"": 7, ""36-45"": 5, ""46-60"": 4, ""60+"": 3}"
Andhra Pradesh,2017,Addiction,41,"{""<18"": 5, ""18-25"": 9, ""26-35"": 2, ""36-45"": 7, ""46-60"": 3, ""60+"": 6}"
Andhra Pradesh,2017,Chronic Illness,35,"{'<18': 7, '18-25': 5, '26-35': 10, '36-45': 6, '46-60': 4, '60+': 6}"
Andhra Pradesh,2017,Unemployment,37,"{'<18': 6, '18-25': 6, '26-35': 3, '36-45': 6, '46-60': 11, '60+': 1}"
Andhra Pradesh,2017,Work Pressure,36,"{'<18': 3, '18-25': 8, '26-35': 2, '36-45': 17, '46-60': 6, '60+': 3}"
Andhra Pradesh,2017,Unknown,37,"{""<18"": 7, ""18-25"": 7, ""26-35"": 5, ""36-45"": 4, ""46-60"": 2, ""60+"": 1}"
Andhra Pradesh,2017,Natural Causes,33,"{""<18"": 4, ""18-25"": 8, ""26-35"": 5, ""36-45"": 6, ""46-60"": 4, ""60+"": 1}"
Andhra Pradesh,2018,Family Issues,40,"{""<18"": 7, ""18-25"": 10, ""26-35"": 5, ""36-45"": 6, ""46-60"": 3, ""60+"": 3}"
Andhra Pradesh,2018,Financial Crisis,36,"{""<18"": 2, ""18-25"": 7, ""26-35"": 5, ""36-45"": 8, ""46-60"": 4, ""60+"": 3}"
Andhra Pradesh,2018,Mental Illness,41,"{""<18"": 8, ""18-25"": 4, ""26-35"": 6, ""36-45"": 6, ""46-60"": 4, ""60+"": 3}"
Andhra Pradesh,2018,Relationship Issuey,58,"{""<18"": 5, ""18-25"": 5, ""26-35"": 6, ""36-45"": 5, ""46-60"": 7, ""60+"": 4}"
Andhra Pradesh,2018,Exam Stress,46,"{""<18"": 7, ""18-25"": 2, ""26-35"": 6, ""36-45"": 8, ""46-60"": 8, ""60+"": 3}"
Andhra Pradesh,2018,Addiction,52,"{'<18': 3, '18-25': 3, '26-35': 3, '36-45': 11, '46-60': 4, '60+': 5}"
Andhra Pradesh,2018,Chronic Illness,39,"{""<18"": 4, ""18-25"": 6, ""26-35"": 7, ""36-45"": 4, ""46-60"": 6, ""60+"": 3}"
Andhra Pradesh,2018,Unemployment,36,"{""<18"": 4, ""18-25"": 3, ""26-35"": 8, ""36-45"": 4, ""46-60"": 4, ""60+"": 8}"
Andhra Pradesh,2018,Work Pressure,44,"{""<18"": 7, ""18-25"": 9, ""26-35"": 3, ""36-45"": 6, ""46-60"": 5, ""60+"": 7}"
Andhra Pradesh,2018,Unknown,39,"{""<18"": 3, ""18-25"": 6, ""26-35"": 4, ""36-45"": 8, ""46-60"": 4, ""60+"": 1}"
Andhra Pradesh,2018,Natural Causes,35,"{""<18"": 7, ""18-25"": 2, ""26-35"": 3, ""36-45"": 8, ""46-60"": 3, ""60+"": 4}"
Andhra Pradesh,2019,Family Issues,43,"{""<18"": 2, ""18-25"": 7, ""26-35"": 12, ""36-45"": 2, ""46-60"": 6, ""60+"": 8}"
Andhra Pradesh,2019,Financial Crisis,38,"{""<18"": 3, ""18-25"": 6, ""26-35"": 1, ""36-45"": 5, ""46-60"": 5, ""60+"": 4}"
Andhra Pradesh,2019,Mental Illness,41,"{""<18"": 4, ""18-25"": 6, ""26-35"": 7, ""36-45"": 3, ""46-60"": 6, ""60+"": 4}"
Andhra Pradesh,2019,Relationship Issues,44,"{""<18"": 5, ""18-25"": 6, ""26-35"": 8, ""36-45"": 10, ""46-60"": 8, ""60+"": 7}"
Andhra Pradesh,2019,Exam Stress,45,"{""<18"": 2, ""18-25"": 2, ""26-35"": 5, ""36-45"": 10, ""46-60"": 6, ""60+"": 7}"
Andhra Pradesh,2019,Addiction,42,"{""<18"": 10, ""18-25"": 6, ""26-35"": 3, ""36-45"": 7, ""46-60"": 3, ""60+"": 7}"
Andhra Pradesh,2019,Chronic Illness,42,"{'<18': 6, '18-25': 4, '26-35': 3, '36-45': 4, '46-60': 0, '60+': 4}"
Andhra Pradesh,2019,Unemployment,46,"{'<18': 4, '18-25': 9, '26-35': 2, '36-45': 8, '46-60': 2, '60+': 8}"
Andhra Pradesh,2019,Work Pressure,44,"{""<18"": 7, ""18-25"": 3, ""26-35"": 5, ""36-45"": 1, ""46-60"": 7, ""60+"": 3}"
Andhra Pradesh,2019,Unknown,35,"{""<18"": 5, ""18-25"": 3, ""26-35"": 4, ""36-45"": 5, ""46-60"": 9, ""60+"": 5}"
Andhra Pradesh,2019,Natural Causes,33,"{""<18"": 7, ""18-25"": 7, ""26-35"": 8, ""36-45"": 3, ""46-60"": 5, ""60+"": 10}"
Andhra Pradesh,2020,Family Issues,55,"{""<18"": 5, ""18-25"": 3, ""26-35"": 5, ""36-45"": 2, ""46-60"": 0, ""60+"": 1}"
Andhra Pradesh,2020,Financial Crisis,38,"{""<18"": 5, ""18-25"": 6, ""26-35"": 10, ""36-45"": 6, ""46-60"": 3, ""60+"": 5}"
Andhra Pradesh,2020,Mental Illness,31,"{""<18"": 6, ""18-25"": 4, ""26-35"": 2, ""36-45"": 3, ""46-60"": 5, ""60+"": 5}"
Andhra Pradesh,2020,Relationship Issues,36,"{""<18"": 4, ""18-25"": 10, ""26-35"": 6, ""36-45"": 7, ""46-60"": 1, ""60+"": 5}"
Andhra Pradesh,2020,Exam Stress,32,"{'<18': 3, '18-25': 3, '26-35': 7, '36-45': 6, '46-60': 4, '60+': 5}"
Andhra Pradesh,2020,Addiction,41,"{""<18"": 6, ""18-25"": 3, ""26-35"": 5, ""36-45"": 9, ""46-60"": 8, ""60+"": 8}"
Andhra Pradesh,2020,Chronic Illness,59,"{""<18"": 3, ""18-25"": 8, ""26-35"": 1, ""36-45"": 5, ""46-60"": 1, ""60+"": 6}"
Andhra Pradesh,2020,Unemployment,42,"{""<18"": 5, ""18-25"": 2, ""26-35"": 7, ""36-45"": 5, ""46-60"": 6, ""60+"": 4}"
Andhra Pradesh,2020,Work Pressure,25,"{'<18': 2, '18-25': 4, '26-35': 9, '36-45': 5, '46-60': 4, '60+': 6}"
Andhra Pradesh,2020,Unknown,36,"{""<18"": 8, ""18-25"": 7, ""26-35"": 11, ""36-45"": 7, ""46-60"": 5, ""60+"": 8}"
Andhra Pradesh,2020,Natural Causez,45,"{""<18"": 3, ""18-25"": 4, ""26-35"": 5, ""36-45"": 6, ""46-60"": 3, ""60+"": 9}"
Andhra Pradesh,2021,Family Issues,36,"{""<18"": 1, ""18-25"": 2, ""26-35"": 3, ""36-45"": 4, ""46-60"": 5, ""60+"": 3}"
Andhra Pradesh,2021,Financial Crisis,51,"{""<18"": 4, ""18-25"": 7, ""26-35"": 4, ""36-45"": 3, ""46-60"": 6, ""60+"": 9}"
Andhra Pradesh,2021,Mental Illness,40,"{'<18': 4, '18-25': 7, '26-35': 7, '36-45': 5, '46-60': 3, '60+': 3}"
Andhra Pradesh,2021,Relationship Issues,40,"{'<18': 0, '18-25': 4, '26-35': 1, '36-45': 6, '46-60': 5, '60+': 8}"
Andhra Pradesh,2021,Exam Stress,39,"{'<18': 6, '18-25': 2, '26-35': 5, '36-45': 3, '46-60': 5, '60+': 4}"
Andhra Pradesh,2021,Addiction,37,"{""<18"": 4, ""18-25"": 8, ""26-35"": 2, ""36-45"": 5, ""46-60"": 9, ""60+"": 9}"
Andhra Pradesh,2021,Chronic Illness,40,"{""<18"": 9, ""18-25"": 6, ""26-35"": 3, ""36-45"": 3, ""46-60"": 7, ""60+"": 3}"
Andhra Pradesh,2021,Unemployment,36,"{""<18"": 9, ""18-25"": 5, ""26-35"": 6, ""36-45"": 3, ""46-60"": 4, ""60+"": 4}"
Andhra Pradesh,2021,Work Pressure,48,"{""<18"": 6, ""18-25"": 7, ""26-35"": 3, ""36-45"": 5, ""46-60"": 4, ""60+"": 6}"
Andhra Pradesh,2021,Unknown,44,"{""<18"": 3, ""18-25"": 8, ""26-35"": 4, ""36-45"": 8, ""46-60"": 4, ""60+"": 3}"
Andhra Pradesh,2021,Natural Causes,37,"{""<18"": 3, ""18-25"": 7, ""26-35"": 6, ""36-45"": 7, ""46-60"": 6, ""60+"": 6}"
Andhra Pradesh,2022,Family Issues,45,"{""<18"": 2, ""18-25"": 5, ""26-35"": 5, ""36-45"": 5, ""46-60"": 9, ""60+"": 8}"
Andhra Pradesh,2022,Financial Crisis,33,"{""<18"": 3, ""18-25"": 4, ""26-35"": 6, ""36-45"": 7, ""46-60"": 8, ""60+"": 3}"
Andhra Pradesh,2022,Mental Illness,39,"{""<18"": 2, ""18-25"": 5, ""26-35"": 3, ""36-45"": 9, ""46-60"": 11, ""60+"": 2}"
Andhra Pradesh,2022,Relationship Issues,38,"{""<18"": 7, ""18-25"": 8, ""26-35"": 2, ""36-45"": 6, ""46-60"": 9, ""60+"": 6}"
Andhra Pradesh,2022,Exam Stress,45,"{""<18"": 5, ""18-25"": 6, ""26-35"": 6, ""36-45"": 4, ""46-60"": 7, ""60+"": 4}"
Andhra Pradesh,2022,Addiction,41,"{""<18"": 3, ""18-25"": 6, ""26-35"": 2, ""36-45"": 2, ""46-60"": 6, ""60+"": 9}"
Andhra Pradesh,2022,Chronic Illness,42,"{'<18': 5, '18-25': 6, '26-35': 6, '36-45': 5, '46-60': 5, '60+': 5}"
Andhra Pradesh,2022,Unemployment,54,"{""<18"": 4, ""18-25"": 4, ""26-35"": 7, ""36-45"": 4, ""46-60"": 4, ""60+"": 1}"
Andhra Pradesh,2022,Work Pressure,40,"{""<18"": 3, ""18-25"": 9, ""26-35"": 4, ""36-45"": 3, ""46-60"": 3, ""60+"": 4}"
Andhra Pradesh,2022,Unknown,34,"{""<18"": 7, ""18-25"": 4, ""26-35"": 2, ""36-45"": 4, ""46-60"": 3, ""60+"": 4}"
Andhra Pradesh,2022,Natural Causes,40,"{""<18"": 3, ""18-25"": 8, ""26-35"": 7, ""36-45"": 1, ""46-60"": 7, ""60+"": 2}"
Telangana,2008,Family Issues,42,"{""<18"": 4, ""18-25"": 5, ""26-35"": 7, ""36-45"": 1, ""46-60"": 3, ""60+"": 3}"
Telangana,2008,Financial Crisis,31,"{""<18"": 8, ""18-25"": 6, ""26-35"": 9, ""36-45"": 6, ""46-60"": 6, ""60+"": 3}"
Telangana,2008,Mental Illness,40,"{""<18"": 4, ""18-25"": 5, ""26-35"": 5, ""36-45"": 5, ""46-60"": 5, ""60+"": 4}"
Telangana,2008,Relationship Issues,40,"{""<18"": 10, ""18-25"": 6, ""26-35"": 6, ""36-45"": 5, ""46-60"": 4, ""60+"": 5}"
Telangana,2008,Exam Stress,46,"{""<18"": 2, ""18-25"": 8, ""26-35"": 9, ""36-45"": 8, ""46-60"": 5, ""60+"": 9}"
Telangana,2008,Addiction,41,"{""<18"": 6, ""18-25"": 5, ""26-35"": 6, ""36-45"": 2, ""46-60"": 4, ""60+"": 6}"
Telangana,2008,Chronic Illnesz,36,"{""<18"": 5, ""18-25"": 2, ""26-35"": 3, ""36-45"": 6, ""46-60"": 6, ""60+"": 7}"
Telangana,2008,Unemployment,50,"{""<18"": 4, ""18-25"": 8, ""26-35"": 4, ""36-45"": 6, ""46-60"": 2, ""60+"": 6}"
Telangana,2008,Work Pressure,44,"{'<18': 8, '18-25': 6, '26-35': 3, '36-45': 4, '46-60': 3, '60+': 5}"
Telangana,2008,Unknown,38,"{""<18"": 7, ""18-25"": 2, ""26-35"": 4, ""36-45"": 4, ""46-60"": 5, ""60+"": 2}"
Telangana,2008,Natural Causes,40,"{""<18"": 6, ""18-25"": 5, ""26-35"": 10, ""36-45"": 7, ""46-60"": 5, ""60+"": 3}"
Telangana,2009,Family Issuez,39,"{""<18"": 6, ""18-25"": 1, ""26-35"": 10, ""36-45"": 1, ""46-60"": 4, ""60+"": 6}"
Telangana,2009,Financial Crisis,37,"{'<18': 9, '18-25': 5, '26-35': 7, '36-45': 5, '46-60': 8, '60+': 2}"
Telangana,2009,Mental Illnesy,43,"{'<18': 8, '18-25': 4, '26-35': 2, '36-45': 8, '46-60': 3, '60+': 4}"
Telangana,2009,Relationship Issues,41,"{""<18"": 7, ""18-25"": 2, ""26-35"": 1, ""36-45"": 4, ""46-60"": 4, ""60+"": 4}"
Telangana,2009,Exam Stress,47,"{""<18"": 4, ""18-25"": 8, ""26-35"": 1, ""36-45"": 2, ""46-60"": 2, ""60+"": 4}"
Telangana,2009,Addiction,40,"{'<18': 7, '18-25': 1, '26-35': 2, '36-45': 4, '46-60': 3, '60+': 4}"
Telangana,2009,Chronic Illness,28,"{""<18"": 8, ""18-25"": 7, ""26-35"": 3, ""36-45"": 3, ""46-60"": 6, ""60+"": 3}"
Telangana,2009,Unemployment,43,"{'<18': 3, '18-25': 1, '26-35': 3, '36-45': 9, '46-60': 0, '60+': 2}"
Telangana,2009,Work Pressure,38,"{""<18"": 6, ""18-25"": 5, ""26-35"": 7, ""36-45"": 3, ""46-60"": 6, ""60+"": 7}"
Telangana,2009,Unknown,34,"{""<18"": 7, ""18-25"": 5, ""26-35"": 4, ""36-45"": 8, ""46-60"": 8, ""60+"": 8}"
Telangana,2009,Natural Causes,49,"{""<18"": 3, ""18-25"": 5, ""26-35"": 5, ""36-45"": 5, ""46-60"": 5, ""60+"": 7}"
Telangana,2010,Family Issues,43,"{'<18': 5, '18-25': 2, '26-35': 4, '36-45': 4, '46-60': 4, '60+': 5}"
